TOSSUPS - YALE/DARTMOUTH/PRINCETON		SWORD BOWL 2002 -- UT-CHATTANOOGA
1.	It had numerous exceptions, including obligations arising from the Covenant of the League of Nations, the Monroe Doctrine, and post-Versailles treaties. Arising out of a bilateral treaty suggested by France in 1927, it was originally directed against German aggression. Also called the Pact of Paris-for 10 points-name this idealistic 1928 document that tried to "outlaw" war as an instrument of national policy.
	Answer:	 Kellogg-Briand Pact [accept Pact of Paris on early buzz]
2.	In 1997, his 23-game hitting streak tied an Astros record, and 1998 saw his first 20-homer season. Acquired by his current team in a trade for Karim Garcia, he gained national attention in 1999 with a 30-game hitting streak. For 10 points-name this Diamondbacks outfielder who, in 2001, hit 57 home runs, and drove in the World Series-winning run.
	Answer:	 Luis Gonzalez
3.	They presume that Russell-Sanders coupling occurs, and that electron configurations can be considered unique. They dictate that the highest total angular momentum state be used if a shell is more than half full, and that the lowest be used otherwise. Often simplified-for 10 points-name these rules that dictate that all orbitals of the same energy receive one electron before any receives two.
	Answer:	 Hund's rules
4.	Adapted into a Broadway play in 1963, it was first serialized in 1914. The author's childhood memories of Lewistown and Petersburg, Illinois provided the basis for its 244 characters. In free verse monologues, they relate episodes from their lives, and reflect on events like the Spanish-American War and Midwestern social trends. For 10 points-name this collection by Edgar Lee Masters of epitaphs from a fictional graveyard.
	Answer:	 Spoon River Anthology
5.	The son of Alyattes [al-YAH-tees], he ruled from his capital at Sardis. The last king of his land, Herodotus attributes his downfall to delayed retribution for the crimes of his ancestor, the usurper Gyges-in the form of misleading oracles from Delphi, who encouraged him to begin a ruinous war with Persia. For 10 points-name this king of Lydia, who lost his throne, his freedom, and his proverbial wealth.
	Answer:	 Croesus
6.	Chapter six gave the Imperial Diet the power to approve budgets. Chapter four created the Privy Council with limitless powers. Authored primarily by Ito Hirobumi, Chapter one invests all sovereignty in the emperor, "sacred and inviolable;" his ordinances have force of law. For 10 points-name this 1889 document, foundation of the Japanese government after the Tokugawa shogunate fell, named for the emperor who led that period's restoration.
	Answer:	 Meiji Constitution
7.	He joined pianist Jay McShann's band in 1938, performing solo on such recordings as Sepian Bounce and Hootie Blues. In Kansas City for his father's funeral, he joined Harlan Leonard's Rockets, a band he would tour with for five years. Later associated with Earl Hines, Dizzy Gillespie, and Thelonius Monk-for 10 points-name this saxophonist nicknamed "Bird" or "Yardbird."
	Answer:	 Charles Christopher "Charlie" Parker, Jr. [accept "Bird" or "Yardbird" on early buzz]
8.	Especially common with AMD Athlon chips, if done at home this procedure will void the warranty of any CPU, because it runs the risk of completely melting the chip's circuitry. FTP name this cheap way of souping up computers, running a CPU at speeds beyond those specified by the manufacturer, which requires tweaking the BIOS settings for bus speed and clock multiplier.
	Answer:	 overclocking
9.	The daughter of a poor dancer and a disreputable opera singer, in her attempt to achieve respectability, she enrolls in Miss Pinkerton's Academy, where she meets Amelia Sedley, who offers her a place to stay before she becomes a governess for Sir Pitt Crawley. She tries to marry Amelia's brother, Joseph, but marries Rawdon Crawley after the Sedleys go broke. For 10 points-name this character from William Thackeray's Vanity Fair.
	Answer:	 Becky Sharp or Becky (or Rebecca) Sharp
