TOSSUPS - MICHIGAN/EMORY etc.			SWORD BOWL 2002 -- UT-CHATTANOOGA
1.	Varmus and Bishop showed that they integrate proto-oncogenes into their own genetic material, switching the genes "on" and triggering potential malignance. This process explains their ability to cause cancers such as adult T-cell leukemia. FTP-name this class of viruses that use the enzyme reverse transcriptase to create DNA from RNA, that includes HIV.
	Answer:	 retrovirus(es)
2.	This subsidiary of Evercore Partners, Inc., owns Distribution Services, Inc., the US's number one in-store supermarket merchandising company. It also publishes Country Weekly, the US's best-selling country music magazine, and seven of the US's 15 best-selling weekly magazines. Based in Boca Raton, Florida-FTP-name this publisher of many tabloids, the site of the first anthrax death.
	Answer:	 American Media, Inc.
3.	His end is assured when a night-time reading of Ossian scares the object of his affections, and his attempt to embrace her causes her to flee. After moving to Walheim, he writes to his friend Wilhelm that he has met a girl named Lotte or Charlotte. Alas, her betrothed, Albert, arrives, shattering his dreams. FTP-name this title character who commits suicide at the end of a 1774 novel by Goethe.
	Answer:	 Werther [accept The Sorrows of Young Werther or Die Leiden des jungen Werther]
4.	According to legend, after enacting his most famous laws, he made his people agree that no one but he could repeal them; he then left for 10 years, starting around 598 BC. His political program involved abolishing slavery for debt, and establishing property classifications. Herodotus attributed the notion that no one can know he is happy until he is dead to-FTP-what archon who, in the line of Athenian lawgivers, followed Draco?
	Answer:	 Solon
5.	His Ode to Death is a setting of Whitman, and he translated the Apocrypha for his Hymn of Jesus. Though he did compose folk-inspired music like the Somerset Rhapsody and Egdon Heath, he is better known for works inspired by Eastern mysticism, such as the opera Savitri and hymns from the Rig Veda. FTP-name this German-born British composer who detested being known for The Planets.
	Answer:	 Gustav(us) Theodore von Holst
6.	When she first appears in the novel, this 16-year-old is pregnant, she needs to be led to pray at her grandmother's grave by her husband, Connie Rivers. He abandons her and her family upon reaching California. At the novel's end, she's "smiling mysteriously," as she feeds a sick cotton worker her breast milk after her child is stillborn. FTP-name this sister of Tom Joad in The Grapes of Wrath, who shares her name with a flower mentioned in the Song of Solomon.
	Answer:	 Rose of Sharon or Rosasharn Joad 
7.	Monthly features include "Ear to the Street," cartoonist Leroy Davis's "Last Page," and the infamous "Record Report." A recent GQ article focused on its founder, and his suspect association with Ray Benzino of Made Men, because Dave Mays's publication is the most-read hip-hop magazine in circulation. FTP-name this magazine whose five-microphone ratings system is pivotal to the success of many rap albums.
	Answer:	 The Source
8.	Edith Wharton's The House of Mirth and Ernest Hemingway's The Sun Also Rises both take their titles from this book of the Bible, flanked by two books usually ascribed to the same author. Though known for his wisdom, the author concludes that "the race is not to the swift," and that wisdom "also is vanity;" in fact, "vanity of vanities, all is vanity." FTP-name this book that provided the text for a song about how everything is appropriate, sooner or later.
	Answer:	 Ecclesiastes or The Preacher [do not accept "Ecclesiasticus"]
9.	Charges in the two murders that spawned the case were quickly dismissed; the focus of the trial was on property and salvage rights. Deportation of the defendants to Spain was advocated by Van Buren, while John Quincy Adams supported their request for repatriation, arguing their case before the Supreme Court, which ruled the defendants were free men, as their capture had been illegal. For 10 points-name this 1841 case about a Spanish slave ship.
	Answer:	 US v. Amistad
